stock_code,isin_code,company_name
2985,JP3802240006,株式会社ファーストステージ
2986,JP3968300008,株式会社ＬＡホールディングス
2987,JP3464300007,株式会社タスキ
2990,JP3102600008,株式会社アイダ設計
2991,JP3968860001,株式会社ランドネット
2992,JP3100320005,株式会社アーバンライク
2993,JP3527450005,株式会社長栄
2994,JP3127630006,株式会社アンサーホールディングス
2995,JP3386820009,ジェイレックス・コーポレーション株式会社
2997,JP3399790009,株式会社ストレージ王
2998,JP3269780007,クリアル株式会社
2999,JP3837680002,ホームポジション株式会社
3001,JP3211400001,片倉工業株式会社
3002,JP3275200008,グンゼ株式会社
3003,JP3360800001,ヒューリック株式会社
3004,JP3370400008,神栄株式会社
3010,JP3393800002,ポラリス・ホールディングス株式会社
3011,JP3864600006,株式会社バナーズ
3020,JP3122630001,アプライド株式会社
3021,JP3781360007,株式会社パシフィックネット
3023,JP3967450002,ラサ商事株式会社
3024,JP3269910000,クリエイト株式会社
3028,JP3126470008,株式会社アルペン
3030,JP3770350001,株式会社ハブ
3031,JP3967050000,株式会社ラクーンホールディングス
3032,JP3309070005,株式会社ゴルフ・ドゥ
3034,JP3266160005,クオールホールディングス株式会社
3035,JP3278700004,ケイティケイ株式会社
3036,JP3126210008,アルコニックス株式会社
3038,JP3291200008,株式会社神戸物産
3039,JP3835000005,株式会社碧
3040,JP3436300002,株式会社ソリトンシステムズ
3041,JP3800470001,株式会社ビューティ花壇
3042,JP3420960001,株式会社セキュアヴェイル
3045,JP3223200001,株式会社カワサキ
3046,JP3386110005,株式会社ジンズホールディングス
3047,JP3635570009,株式会社ＴＲＵＣＫ－ＯＮＥ
3048,JP3800390001,株式会社ビックカメラ
3050,JP3548660004,ＤＣＭホールディングス株式会社
3053,JP3836400006,株式会社ペッパーフードサービス
3054,JP3765220003,株式会社ハイパー
3055,JP3843360003,株式会社ほくやく・竹山ホールディングス
3057,JP3427200005,株式会社ゼットン
3058,JP3342100009,株式会社三洋堂ホールディングス
3059,JP3795150006,ヒラキ株式会社
3063,JP3386320000,株式会社ジェイグループホールディングス
3064,JP3922950005,株式会社ＭｏｎｏｔａＲＯ
3065,JP3966670006,株式会社ライフフーズ
3066,JP3386330009,株式会社ＪＢイレブン
3067,JP3570800007,株式会社東京一番フーズ
3068,JP3505930002,株式会社ＷＤＩ
3069,JP3120050004,株式会社ＪＦＬＡホールディングス
3070,JP3122670007,株式会社アマガサ
3071,JP3399760002,株式会社ストリーム
3073,JP3499650004,株式会社ＤＤホールディングス
3075,JP3527550002,株式会社銚子丸
3076,JP3105090009,あい　ホールディングス株式会社
3077,JP3852850001,ホリイフードサービス株式会社
3079,JP3548710007,ディーブイエックス株式会社
3080,JP3386360006,株式会社ジェーソン
3082,JP3240300008,株式会社きちりホールディングス
3083,JP3347030003,株式会社シーズメン
3085,JP3100090004,アークランドサービスホールディングス株式会社
3086,JP3386380004,Ｊ．フロント　リテイリング株式会社
3087,JP3639100001,株式会社ドトール・日レスホールディングス
3088,JP3869010003,株式会社マツキヨココカラ＆カンパニー
3089,JP3545210001,テクノアルファ株式会社
3091,JP3831550003,株式会社ブロンコビリー
3092,JP3399310006,株式会社ＺＯＺＯ
3093,JP3637270004,株式会社トレジャー・ファクトリー
3094,JP3395600004,株式会社スーパーバリュー
3096,JP3172260006,株式会社オーシャンシステム
3097,JP3922930007,株式会社物語コーポレーション
3099,JP3894900004,株式会社三越伊勢丹ホールディングス
